9,♥,069197681917418678,91.82
9,◆,757569547183151599,95.16
4,♠,225180524554717554,63.77
9,♣,713252993094473443,61.22
J,◆,385339861853643374,70.55
9,♠,306334072201662399,77.14
5,♠,739715765437392435,81.93
6,♣,875215350252187677,55.09
T,◆,200480907649826324,58.75
J,♣,621693485831839302,72.69
5,♣,177246862623767451,93.85
T,♥,985185743609586243,66.77
8,♣,155978149357236703,91.17
Q,♠,706888764036297886,88.27
T,♠,701039411218597901,69.98
Q,◆,638713767221657878,50.84
8,♠,616144646464409918,66.24
3,♠,502442432286273565,63.75
8,◆,138517537776366542,60.08
6,♠,025287754621511739,84.32
7,♥,590515204118970691,68.82
7,◆,810548812395245649,78.05
2,♠,974061504089032209,89.72
6,◆,258062618236100773,84.6
5,◆,707820980237754876,71.38
T,♣,216649069015269019,76.3
J,♠,166947778072354593,59.08
7,♠,566161008578582891,50.5
2,♥,034395761250363293,60.81
7,♣,964899866348005134,90.17
A,♥,842651695638074151,53.37
8,♥,144080609498588503,65.14
J,♥,808514301026629793,63.0
3,♣,584735472345919327,77.76
6,♥,694192761179017392,54.13
K,◆,813946346735144118,97.18
K,♥,385868527149038787,55.0
5,♥,389960107387679415,90.1
3,♥,301311514626489073,69.57
2,◆,556002884299209876,82.86
Q,♣,779104459479637225,96.58
A,♣,518825581576641549,50.12
A,♠,890166421831329821,60.41
4,◆,245653933430206533,53.27
Q,♥,273885897614165726,64.31
4,♥,883678401317666370,75.31
3,◆,186058902958808797,60.45
2,♣,527351118096250976,52.82
K,♣,691214938293268546,57.49
A,◆,499640512106198292,64.57
K,♠,784939585615480199,85.73
4,♣,312523202967202264,52.85
